Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Bal. Strategy;Folds;Feat. Selec. Strategy;Model
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
SVC;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;SVC(probability=True)
